"site_id","sample_date","event_id"
"10-ARNO-0.1",2015-07-14,"10-ARNO-0.1_20150714"
"10-BISH-0.6",2018-07-19,"10-BISH-0.6_20180719"
"10-CMIL-3.3",2018-07-19,"10-CMIL-3.3_20180719"
"10-COLW-0.7",2015-07-14,"10-COLW-0.7_20150714"
"10-LGLN-0.5",2018-07-19,"10-LGLN-0.5_20180719"
"10-LSAR_T10-0.3",2018-07-18,"10-LSAR_T10-0.3_20180718"
"10-MILC-6.3",2015-07-14,"10-MILC-6.3_20150714"
"10-NSAR_T7-0.8",2015-07-14,"10-NSAR_T7-0.8_20150714"
"10-PUTM_T5-0.3",2015-07-14,"10-PUTM_T5-0.3_20150714"
"10-ROUT-1.3",2018-07-19,"10-ROUT-1.3_20180719"
"10-TRAE-4.5",2018-07-17,"10-TRAE-4.5_20180717"
"10-TWOB-3.6",2015-07-14,"10-TWOB-3.6_20150714"
"10-URIL-0.4",2015-07-14,"10-URIL-0.4_20150714"
"11-GORN-6.0",2015-06-18,"11-GORN-6.0_20150618"
"11-MOSE-12.8",2016-08-19,"11-MOSE-12.8_20160819"
"11-ROWL-0.5",2016-08-04,"11-ROWL-0.5_20160804"
"11-SRUN-3.8",2015-06-18,"11-SRUN-3.8_20150618"
"11-TEET-0.8",2015-06-19,"11-TEET-0.8_20150619"
"11-TOMH-12.2",2016-08-05,"11-TOMH-12.2_20160805"
"12-ALPL_T11-2.1",2015-06-18,"12-ALPL_T11-2.1_20150618"
"12-BARK-0.6",2015-08-19,"12-BARK-0.6_20150819"
"13-BASC_T17-2.4",2017-07-26,"13-BASC_T17-2.4_20170726"
"13-BLKH-8.2",2017-07-27,"13-BLKH-8.2_20170727"
"13-BLKK-1.1",2017-07-11,"13-BLKK-1.1_20170711"
"13-EBCR-16.3",2017-07-25,"13-EBCR-16.3_20170725"
"13-FISH-16.3",2017-07-26,"13-FISH-16.3_20170726"
"13-NOST-0.3",2017-07-24,"13-NOST-0.3_20170724"
"13-QKER-0.9",2018-08-28,"13-QKER-0.9_20180828"
"13-QKER-1.0",2015-08-12,"13-QKER-1.0_20150812"
"13-RHIN-4.3",2017-07-27,"13-RHIN-4.3_20170727"
"13-RIOG-0.7",2018-08-28,"13-RIOG-0.7_20180828"
"13-SPRO-9.2",2015-06-30,"13-SPRO-9.2_20150630"
"13-WALK_T25-1.5",2015-08-12,"13-WALK_T25-1.5_20150812"
"13-WBLKK-8.9",2015-06-18,"13-WBLKK-8.9_20150618"
"13-WKLEI-0.6",2018-08-27,"13-WKLEI-0.6_20180827"
"14-HURL-2.8",2015-08-12,"14-HURL-2.8_20150812"
"14-TENR-3.7",2019-08-21,"14-TENR-3.7_20190821"
"14-WLAK-5.8",2015-08-12,"14-WLAK-5.8_20150812"
"15-HACK-3.3",2015-08-13,"15-HACK-3.3_20150813"
"15-MAWA-3.7",2015-08-13,"15-MAWA-3.7_20150813"
"15-RAMA-13.7",2015-08-12,"15-RAMA-13.7_20150812"
"16-AMEN_T2-1.1",2015-06-30,"16-AMEN_T2-1.1_20150630"
"16-BOGH-0.3",2015-06-30,"16-BOGH-0.3_20150630"
"16-SWEL-0.1",2017-07-25,"16-SWEL-0.1_20170725"
"16-SWMP-6.8",2017-07-25,"16-SWMP-6.8_20170725"
"16-WEBA-23.3",2015-06-30,"16-WEBA-23.3_20150630"
"16-WEBA_T4-1.3",2015-06-30,"16-WEBA_T4-1.3_20150630"
"17-BRWN-0.9",2015-06-25,"17-BRWN-0.9_20150625"
"17-BVDC-0.4",2015-06-25,"17-BVDC-0.4_20150625"
"17-CARL-0.8",2015-06-25,"17-CARL-0.8_20150625"
"17-CARM-12.9",2015-06-26,"17-CARM-12.9_20150626"
"17-CARM-9.0",2015-06-26,"17-CARM-9.0_20150626"
"17-EMED-0.4",2018-09-12,"17-EMED-0.4_20180912"
"17-GREN-0.8",2015-06-25,"17-GREN-0.8_20150625"
"17-MASS-1.2",2015-06-24,"17-MASS-1.2_20150624"
"17-MBUR-2.1",2015-06-24,"17-MBUR-2.1_20150624"
"17-MIAN-14.2",2018-09-12,"17-MIAN-14.2_20180912"
"17-MUDL-1.4",2015-06-25,"17-MUDL-1.4_20150625"
"17-NISS-4.7",2015-06-26,"17-NISS-4.7_20150626"
"17-NISS_E-2.6",2015-06-26,"17-NISS_E-2.6_20150626"
"17-OROW-0.6",2018-09-12,"17-OROW-0.6_20180912"
"17-PECN-8.9",2015-06-25,"17-PECN-8.9_20150625"
"17-PENA-1.4",2018-09-12,"17-PENA-1.4_20180912"
"17-SAMP-2.1",2015-06-25,"17-SAMP-2.1_20150625"
"17-SANT-1.7",2018-09-12,"17-SANT-1.7_20180912"
"17-SWML-1.4",2018-09-12,"17-SWML-1.4_20180912"
"17-TERR-0.2",2015-06-25,"17-TERR-0.2_20150625"
