site_id,facultative,intolerant,tolerant,<NA>,,dom_5_ttaxa,pct_gatherer,rich_ttaxa,pct_rich_ttaxa_toe,rich_ttaxa_tol_0to7,shannon_ttaxa_toe,condition_class,SITE_SCORE_FINAL
09-FSCR-9.2,97,7,123,2,,51.69302172,83.41090769,43.75,41.02564103,23.33333333,44.04508811,2,4.466089302
09-JEWT-3.1,58,4,142,0,,55.54968846,67.36355518,46.875,59.34065934,26.66666667,41.33453122,2,4.733287878
09-LSAL_T1-1.0,124,3,80,0,,0,29.00925962,3.125,59.34065934,10,48.95041509,3,0.76257556
09-LSUK-11.3,91,3,108,0,,74.85646231,46.29369487,56.25,0,36.66666667,0,1,2.4850966
09-LTTL-13.2,95,14,73,0,,62.56436562,80.29222445,28.125,75.52447552,16.66666667,74.65864181,2,5.834908843
09-MARA-4.5,128,11,73,0,,40.86582433,51.53212067,46.875,98.9010989,40,46.68472793,1,5.483792294
09-OTTS-0.2,180,1,36,0,,1.297272253,21.78779186,9.375,34.61538462,13.33333333,32.63361006,2,0
09-PIKC-8.7,170,18,14,2,,55.54968846,32.43158061,65.625,100,70,67.8515075,2,7.286361455
09-PLMB-12.4,67,130,5,0,,88.59341949,100,100,100,100,100,1,10
09-SCKE-16.4,184,1,46,0,,46.85583716,84.42124666,31.25,0,23.33333333,0,2,1.721661785
09-SOAP-0.8,25,0,19,0,,83.10755672,77.0174827,21.875,0,6.666666667,0,2,1.797616822
09-TRAY-2.9,180,40,104,2,,55.38874999,51.46200602,81.25,92.30769231,70,85.28647203,2,8.48368432
09-WHIK-0.8,187,0,14,0,,23.02312495,40.91952906,34.375,69.23076923,46.66666667,65.23556002,2,4.254775726
09-WSCK-3.4,113,20,66,1,,56.89048474,58.29521458,62.5,50.34965035,66.66666667,69.85478162,3,6.558259366
10-ARNO-0.1,158,18,25,2,,75.40748733,98.65434462,84.375,55.38461538,83.33333333,89.79559327,2,9.870964811
10-BISH-0.6,136,6,69,2,,72.25832554,83.34370355,56.25,44.66501241,36.66666667,43.6391299,1,5.8076118
10-CMIL-3.3,38,2,13,2,,49.7731353,51.10430883,6.25,92.30769231,6.666666667,64.86822109,2,4.025239047
10-COLW-0.7,66,16,35,4,,100,58.17153807,68.75,39.56043956,63.33333333,69.44710516,1,7.497601887
10-LGLN-0.5,127,71,6,0,,84.69743373,98.10369281,93.75,90.16100179,100,100,2,10
10-LSAR_T10-0.3,156,6,38,0,,13.28545781,53.30692861,28.125,37.76223776,23.33333333,49.66600798,1,2.252657561
10-MILC-6.3,122,65,18,1,,100,67.26859447,100,89.01098901,100,100,1,10
10-NSAR_T7-0.8,161,12,30,0,,57.8326892,88.82520971,68.75,63.2967033,53.33333333,80.30821195,1,7.851726258
10-PUTM_T5-0.3,167,17,26,1,,85.26381172,80.21057522,100,57.69230769,100,100,1,10
10-ROUT-1.3,108,61,36,0,,36.85247624,90.60609827,28.125,100,40,70.34953943,2,6.595510745
10-TRAE-4.5,152,30,28,0,,100,100,100,64.81178396,100,90.99720489,1,10
10-TWOB-3.6,182,7,9,5,,51.97442315,100,65.625,65.15837104,63.33333333,83.54298604,1,8.319642478
10-URIL-0.4,170,16,35,0,,81.7826592,88.86015492,68.75,71.20879121,70,90.74229087,2,9.448559767
