site_id,filterer,gatherer,predator,scraper,shredder,<NA>,,dom_5_ttaxa,pct_gatherer,rich_ttaxa,pct_rich_ttaxa_toe,rich_ttaxa_tol_0to7,shannon_ttaxa_toe,condition_class,SITE_SCORE_FINAL
13-EBCR-16.3,53,91,30,10,16,2,,81.7249409,64.63816944,78.125,58.29959514,66.66666667,71.09185395,1,8.073669648
13-FISH-16.3,2,52,37,4,1,0,,25.67324955,51.64416662,9.375,100,20,69.88877648,2,4.177110974
13-IDNK-0.5,117,72,16,1,1,0,,38.30041891,79.27080217,37.5,66.46153846,30,56.50052806,1,5.028393611
13-NOST-0.3,22,160,18,7,10,0,,70.71457528,23.75814839,100,49.23076923,80,80.82117571,2,7.640030053
13-QKER-0.9,63,23,3,16,34,0,,36.99159165,100,21.875,41.53846154,6.666666667,45.43078964,2,3.525397155
13-QKER-1.0,13,129,46,1,12,9,,36.64529367,41.29432158,46.875,9.89010989,13.33333333,0,2,0.697961541
13-RHIN-4.3,6,199,6,15,2,0,,8.504204857,4.449230446,15.625,30.76923077,26.66666667,29.96730817,2,0
13-RIOG-0.7,75,92,6,13,15,0,,11.19001045,63.60967135,9.375,17.30769231,10,0,2,0
13-SPRO-9.2,30,129,9,7,6,0,,56.40318597,27.26705221,50,28.64721485,43.33333333,44.99468288,2,3.47513449
13-WALK_T25-1.5,13,188,81,3,6,1,,27.87929466,37.08279695,50,57.29442971,26.66666667,76.3486889,2,4.141673023
13-WALK-35.6,5,10,1,1,1,0,,21.54398564,49.66468806,0,0,0,0,2,0
13-WBLKK-8.9,28,149,28,9,19,5,,51.80212121,39.6175868,90.625,52.74725275,60,87.09384764,1,7.027286493
13-WKLEI-0.6,20,17,4,6,6,0,,59.5643779,83.12908031,12.5,48.86877828,16.66666667,47.61726414,2,3.954221716
14-HURL-2.8,51,102,31,7,18,8,,89.89567217,61.85170813,87.5,74.29643527,83.33333333,97.27959385,1,10
14-TENR-3.7,49,77,24,14,39,4,,100,75.82823076,93.75,100,93.33333333,100,1,10
14-WLAK-5.8,113,130,43,7,13,10,,74.44037907,70.21117438,100,64.81178396,76.66666667,86.44460228,1,9.481870177
15-HACK-3.3,2,54,23,8,112,7,,31.80701051,91.48357491,21.875,27.69230769,16.66666667,23.55911994,2,2.458486813
15-MAWA-3.7,10,158,11,13,6,4,,40.51406936,17.36586959,62.5,58.74125874,60,86.9206893,1,5.515814497
15-RAMA-13.7,10,82,3,43,9,78,,39.60263315,76.90231304,50,38.19628647,46.66666667,62.60091822,2,5.18904471
16-AMEN_T2-1.1,128,90,38,10,11,10,,100,84.15037725,96.875,37.76223776,90,53.99252287,2,9.21677302
16-BOGH-0.3,45,76,22,18,28,12,,75.28604732,74.95474249,71.875,100,66.66666667,100,1,9.92055197
16-SWEL-0.1,57,107,23,13,13,0,,92.73016917,57.24804254,78.125,43.72469636,76.66666667,70.05742941,2,8.019694021
16-SWMP-6.8,34,129,29,2,7,0,,51.61981832,37.37419432,40.625,31.95266272,16.66666667,48.95041509,2,2.840254944
16-WEBA_T4-1.3,51,77,11,13,52,0,,80.81106769,75.04858959,87.5,27.01688555,70,41.88890856,2,7.037561913
