site_id,SITE_SCORE,rich_ttaxa_coe,rich_ttaxa_insecta,pct_gatherer,rich_genus,shannon_ttaxa_shredder,condition_class
03-FOMI_S-0.1,1.8031724659102415,-0.6744907594765953,-0.6295247088448223,-0.7812851297270562,-0.8431134493457441,-0.26841348669554055,2
03-GUFF-0.9,5.906090143454765,0.9677476114229411,-0.35972840505418413,0.949907819596205,-0.4752093987221466,-0.17662748378804966,2
03-HRTB-2.2,8.68458658770354,0.9677476114229411,0.8993210126354604,1.6693646297045732,0.5058680696074465,-0.3577147356668809,3
03-JEDO_T3-0.4,0,-0.6744907594765953,-1.3489815189531904,-1.5007419398354245,-1.824190917675337,-1.3000218890219781,3
03-JOHN-13.7,5.107123108149731,-0.43988527791951865,-0.08993210126354603,0.5676963892261343,-0.22994003163974838,0.2991841297464093,3
03-MIDL-2.4,2.2994437679078503,-0.9090962410336719,-0.4496605063177302,-0.7588021044111697,-0.4752093987221466,-0.10778798160743135,3
03-SAND_T21-4.0,6.911654776984825,-0.20527979636244204,0.35972840505418413,0.5452133639102479,0.13796401898384902,1.0740287853989863,1
03-TELV-12.8,1.9087896155268567,-0.6744907594765953,-0.5395926075812763,-0.8262511803588292,-0.720478765804545,-0.33039707125189754,2
03-YANT_T1c-0.2,0.8962426585173562,-0.6744907594765953,-0.9892531138990064,-0.17424344619812043,-0.9657481328869432,-1.3000218890219781,3
04-BLAK_N_T1-1.1,3.3543112029580024,-0.6744907594765953,-0.5395926075812763,0.34286613606726923,-0.5978440822633457,-0.17662748378804966,2
04-BLAK_T16-0.8,5.2427535329257555,-0.20527979636244204,0.08993210126354603,1.1522550474391835,0.5058680696074465,-1.3000218890219781,3
04-BLAK_T7-3.0,7.282564292737227,0.2639311667517112,0.08993210126354603,0.904941768964432,0.3832333860662473,0.6405258696912906,3
04-BLCE-5.2,3.7027338653936166,0.2639311667517112,-0.17986420252709207,-0.12927739556634743,-0.720478765804545,-0.5315769374601101,1
04-JCOX-4.6,0,-1.1437017225907484,-1.9785062277980128,-1.927919420837268,-2.559999018922532,-1.3000218890219781,3
04-JCOX_S-3.7,0,-0.6744907594765953,-1.7087099240073746,-1.8604703448896085,-2.559999018922532,-1.3000218890219781,3
04-MCMI_S-5.0,10,1.671564056094171,1.4389136202167365,0.1630019335401772,1.8548495885606369,0.32509918190970044,2
04-OATK-46.2,7.315841760981707,0.2639311667517112,0.2697963037906381,0.29790008543549623,0.26059870252504813,1.2236155024788133,3
04-SPRG-10.1,3.757147876041244,-0.6744907594765953,-0.2697963037906381,-0.8712172309906022,-0.3525747151809475,0.9252268854800272,3
04-WCONI-0.6,4.102822230386469,0.029325685194634576,-0.17986420252709207,-0.8037681550429426,-0.3525747151809475,0.40970361794281596,2
04-WDIT-0.1,5.101368373375628,0.029325685194634576,0,0.1854849588560637,0.015329335442649892,-0.12877160611771998,3
04-WMRSG-0.2,4.79183719668836,0.2639311667517112,-0.17986420252709207,-0.556454876568191,0.015329335442649892,0.24889577358928194,1
05-CAMB-11.2,7.808885649354021,1.4369585745370943,0.7194568101083683,0.4327982373308153,0.7511374366898447,-0.5314654093121013,1
05-CBRO-1.8,0,-1.1437017225907484,-1.7087099240073746,-1.65812311704663,-2.0694602847577355,-1.3000218890219781,3
05-STEO-35.7,10,1.9061695376512475,0.9892531138990064,1.5119834524933677,0.7511374366898447,1.0319980648851386,2
05-WINI_T2-1.2,2.1996927801438386,0.2639311667517112,-0.5395926075812763,-0.5041451242000731,-0.720478765804545,-1.3000218890219781,2
06-FABS-5.0,6.293562747567737,-0.6744907594765953,0.5395926075812763,1.1972210980709566,0.3832333860662473,-0.15199358467414806,2
06-FLYS-0.7,0,-0.9090962410336719,-0.8993210126354604,-0.6913530284635101,-1.4562868670517397,-1.3000218890219781,2
06-MADB-0.1,0,-0.9090962410336719,-1.1691173164260984,-1.0735644588335809,-1.701556234134138,-0.17662748378804966,2
06-NING-7.7,9.67785117484637,0.029325685194634576,0.9892531138990064,1.826745806915779,0.996406803772243,0.8361197650647085,1
07-BLDY-0.1,3.444723815620022,-0.20527979636244204,-0.35972840505418413,0.41031521201492877,-0.5978440822633457,-0.802739112714935,3
07-BUTL-3.5,3.3623104012874667,-0.43988527791951865,-0.35972840505418413,0.05058680696074432,-0.22994003163974838,-0.6587226910598265,2
07-CANA-32.8,7.02400920640623,0.9677476114229411,-0.08993210126354603,0.6351454651737939,0.13796401898384902,0.3730842120891923,2
07-COWA_T10-0.9,2.900676230968892,-0.43988527791951865,-0.7194568101083683,-0.44403974998875856,-0.10730534809854925,-0.38863658291591363,2
07-GEDD-1.4,0,-0.9090962410336719,-1.6187778227438285,-1.8155042942578357,-2.4373643353813326,-1.3000218890219781,3
07-HARB-0.5,0,-0.9090962410336719,-1.7087099240073746,-1.927919420837268,-2.559999018922532,-1.3000218890219781,3
07-HENC_T4-1.2,7.73226255756995,0.7331421298658645,0.5395926075812763,0.25293403480372323,0.8737721202310438,0.3328216650880422,3
07-JACB-1.9,10,1.9061695376512475,1.6187778227438285,-0.44403974998875856,1.977484272101836,1.4178982528411321,3
07-LITR-0.2,10,1.9061695376512475,0.7194568101083683,0.5452133639102479,1.2416761708546413,1.008594654226654,1
07-MUDE-4.4,7.238337607212248,0.029325685194634576,0.8993210126354604,1.122767260467091,1.4869455379370395,-1.3000218890219781,2
07-MUSK-0.5,0,-0.9090962410336719,-1.5288457214802826,-0.6463869778317372,-2.559999018922532,-1.3000218890219781,2
07-NINE-0.7,5.066462736705611,-0.43988527791951865,0.2697963037906381,0.5227303385943614,-0.10730534809854925,-0.17887327966132124,3
