BAS_LOC_RM,site_id,pct_natural+wetland,site_condition
09-ENGL-17.6,09_ENGL_17d6,93.77528789,ref
09-FARR-3.1,09_FARR_3d1,74.01710001,test
09-JEWT-3.1,09_JEWT_3d1,60.45337949,test
09-LSAL_T1-1.0,09_LSAL_T1_1d0,39.31750742,test
09-LSUK-11.3,09_LSUK_11d3,83.46491228,ref
09-PIKC-8.7,09_PIKC_8d7,90.63590284,ref
09-PLMB-12.4,09_PLMB_12d4,96.82208672,ref
09-SCKE-16.4,09_SCKE_16d4,49.3309172,test
09-TRAY-2.9,09_TRAY_2d9,78.5259794,ref
09-WSCK-3.4,09_WSCK_3d4,36.93497826,test
10-ARNO-0.1,10_ARNO_0d1,69.40349997,test
10-COLW-0.7,10_COLW_0d7,93.5713469,ref
10-MILC-6.3,10_MILC_6d3,95.93747611,ref
10-NSAR_T7-0.8,10_NSAR_T7_0d8,99.13854989,ref
10-PUTM_T5-0.3,10_PUTM_T5_0d3,95.10179994,ref
10-TWOB-3.6,10_TWOB_3d6,90.48799504,ref
10-URIL-0.4,10_URIL_0d4,78.37894681,ref
11-GORN-6.0,11_GORN_6d0,74.72671622,test
11-SRUN-3.8,11_SRUN_3d8_updated,38.2679845,test
12-ALPL_T11-2.1,12_ALPL_T11_2d1,78.34829443,ref
12-BARK-0.6,12_BARK_0d6,38.585209,test
12-TEET-0.8,12_TEET_0d8,99.29880118,ref
13-QKER-1.0,13_QKER_1d0,40.55137653,test
13-SPRO-9.2,13_SPRO_9d2,63.74755079,test
13-WALK_T25-1.5,13_WALK_T25_1d5,28.73364601,test
13-WBLKK-8.9,13_WBLKK_8d9,68.78121347,test
14-HURL-2.8,14_HURL_2d8,77.65648315,ref
14-WLAK-5.8,14_WLAK_5d8,80.88406752,ref
15-HACK-3.3,15_HACK_3d3,29.11567248,test
15-MAWA-3.7,15_MAWA_3d7,69.33730023,test
15-RAMA-13.7,15_RAMA_13d7,50.0391462,test
16-AMEN_T2-1.1,16_AMEN_T2_1d1,48.46120503,test
16-BOGH-0.3,16_BOGH_0d3,96.37925744,ref
16-WEBA_T4-1.3,16_WEBA_23d3,74.55490435,test
16-WEBA-23.3,16_WEBA_T4_1d3,57.66635524,test
17-BRWN-0.9,17_BRWN_0d9,1.091764706,test
17-BVDC-0.4,17_BVDC_0d4,45.43685886,test
17-CARL-0.8,17_CARL_0d8,11.86967804,test
17-CARM-12.9,17_CARM_12d9,25.66375368,test
17-CARM-9.0,17_CARM_9d0,28.75433842,test
17-GREN-0.8,17_GREN_0d8,1.168605838,test
17-MASS-1.2,17_MASS_1d2,12.88716863,test
17-MBUR-2.1,17_MBUR_2d1,0.26432403,test
17-MUDL-1.4,17_MUDL_1d4,14.5000399,test
17-NISS-4.7,17_NISS_4d7_stretched,12.98851708,test
17-NISS_E-2.6,17_NISS_E_2d6,9.13267593,test
17-PECN-8.9,17_PECN_8d9,58.5471458,test
17-SAMP-2.1,17_SAMP_2d1,13.99147966,test
17-TERR-0.2,17_TERR_0d2,37.36974488,test
