"site_id","sample_date","sys_sample_code","sample_source","sample_matrix_code","dec_sample_type_cde","lab_sample_type_cde","sample_type_code_combined","chemical_name","fraction","result_value","result_unit","lab_qualifiers","interpreted_qualifiers","validator_qualifiers","validator_qual_expln","validator_qualifiers_equis","method_detection_limit","reporting_detection_limit","quantitation_limit","detection_limit_unit","event_id"
"16-SWMP-6.8","2017-07-25","13SWMP-6.8_07252017_WS","field","WS","N","N","","chloride (as cl)","TOTAL",58.6,"mg/l","","","","","",0.2,NA,2,"mg/l","16-SWMP-6.8_2017-07-25"
"16-SWMP-6.8","2017-07-25","13SWMP-6.8_07252017_WS","field","WS","N","N","","conductivity at 25 degrees celsius","TOTAL",553,"umhos/cm","","","","","",NA,NA,NA,"umhos/cm","16-SWMP-6.8_2017-07-25"
"16-SWMP-6.8","2017-07-25","13SWMP-6.8_07252017_WS","field","WS","N","N","","hardness (as caco3)","TOTAL",206,"mg/l","","","","","",NA,NA,6.62,"mg/l","16-SWMP-6.8_2017-07-25"
"16-SWMP-6.8","2017-07-25","13SWMP-6.8_07252017_WS","field","WS","N","N","","nitrogen, nitrate (as n)","TOTAL",0.02,"mg/l","","","","","",NA,NA,0.01,"mg/l","16-SWMP-6.8_2017-07-25"
"16-SWMP-6.8","2017-07-25","13SWMP-6.8_07252017_WS","field","WS","N","N","","nitrate+nitrite as nitrogen","TOTAL",0.0204,"mg/l","","","","","",7e-04,NA,0.002,"mg/l","16-SWMP-6.8_2017-07-25"
"16-SWMP-6.8","2017-07-25","13SWMP-6.8_07252017_WS","field","WS","N","N","","nitrogen, nitrite","TOTAL",NA,"mg/l","U","U","","","",0.002,0.002,0.01,"mg/l","16-SWMP-6.8_2017-07-25"
"16-SWMP-6.8","2017-07-25","13SWMP-6.8_07252017_WS","field","WS","N","N","","ph","TOTAL",7.8,"pH units","H","H","","","",NA,NA,NA,"pH units","16-SWMP-6.8_2017-07-25"
"16-SWMP-6.8","2017-07-25","13SWMP-6.8_07252017_WS","field","WS","N","N","","phosphorus, total (as p)","TOTAL",0.0928,"mg/l","","","","","",0.002,NA,0.003,"mg/l","16-SWMP-6.8_2017-07-25"
"16-SWMP-6.8","2017-07-25","13SWMP-6.8_07252017_WS","field","WS","N","N","","temperature of ph analysis","TOTAL",23.4,"deg c","H","H","","","",NA,NA,NA,"deg c","16-SWMP-6.8_2017-07-25"
"16-SWMP-6.8","2017-07-25","13SWMP-6.8_07252017_WS","field","WS","N","N","","turbidity","TOTAL",3.4,"ntu","","","","","",0.06,NA,0.1,"ntu","16-SWMP-6.8_2017-07-25"
