SAMPLE_EVENT_INFO_HISTORY_ID,EVENT_SMAS_ID,SITE_TYPE_DPRTMNT_INTRST_IND,SITE_TYPE_EXTRNL_SUGG_IND,SITE_TYPE_LNG_TRM_TRND_IND,SITE_TYPE_MLTPLT_IND,SITE_TYPE_PROBABILISTIC_IND,SITE_TYPE_RAS_IND,SITE_TYPE_REFERENCE_IND,SITE_TYPE_RMN_IND,SITE_TYPE_SPCL_STDY_IND,SITE_TYPE_UNASSD_PWL_IND,EVENT_BASELINE,EVENT_EXTENT,DISCH_COLLECT_IND,TOTAL_DISCH,SEI_BIOSAMPLE_COLLECT_IND,SEIH_BIOSAMPLE_COLLECT_IND,SEIH_BIOSAMPLE_TYPE,SEIH_WATER_CHEM_COLLECT_IND,SEIH_CHEM_QAQC_IND,SEIH_CHEM_QAQC_TYPE,SEIH_CHEM_SAMP_LOC,SEIH_CHEM_SAMP_EQUP,SEIH_MICROTOX_IND,SEIH_ORG_FOR_TOXICS_IND,SEIH_DEPTH,SEIH_DEPTH_QLFR,SEIH_WIDTH,SEIH_WIDTH_QLFR,SEIH_SPEED_OF_STREAM_CURRENT,SEIH_SPD_OF_STRM_CURRENT_QLFR,SEIH_SECCHI,SEIH_SECCHI_QLFR,SEIH_ALGAE_DIATOMS_PRESENT,SEIH_THICKNESS_DIATOMS_PRESENT,SEIH_ALGAE_SUSPENDED_IND,SEIH_ALGAE_FILAMENTOUS_IND,MFDH_MACROPHYTES,SEIH_CANOPY,SEIH_EMBEDDEDNESS,SEIH_EMBEDDEDNESS_QLFR,SEIH_ROCK,SEIH_RUBBLE,SEIH_GRAVEL,SEIH_SAND,SEIH_SILT,SEIH_CLAY,SEIH_LAND_USE,SEIH_YSI_METER_ID,SEIH_TEMPERATURE,SEIH_CONDUCTANCE,SEIH_DISSOLVED_OXYGEN,SEIH_PH,SEIH_PCT_SATURATION,SEIH_SALINITY,SEIH_Chl_ugL,SEIH_Chl_RFU,SEIH_PC_ugL,SEIH_PC_RFU,SEIH_GENERAL_COMMENT,CHEM_RESULT_RCVD_IND,CHEM_RESULT_RCVD_NOTE,CREATE_DATE,END_DATE,UPDATE_DATE,UPDATED_BY_GUID
8145,07-OWAS-4.0_20160712,,,,,,,,,,,,,,,,TRUE,M,,,,,,TRUE,FALSE,0.3,,12,,70,,0,,100,2,FALSE,TRUE,0,50,50,,5,45,45,5,0,0,Residential,,25.49,466,11.4,9.05,139.4,0.22,,,,,,,,,,,
8146,07-REED-0.1_20160712,,,,,,,,,,,,,,,,TRUE,M,,,,,,FALSE,FALSE,0.1,,5,,43,,0,,40,2,FALSE,TRUE,0,88,25,,0,40,40,5,15,0,Residential,,20.8,1004,6.4,7.7,71,0.5,,,,,,,,,,,
8147,07-REED-2.3_20160712,,,,,,,,,,,,,,,,TRUE,M,,,,,,FALSE,FALSE,0.1,,3,,18,,0,,20,1,FALSE,TRUE,0,,0.25,,10,50,25,,15,,Forest,,24.3,1027,7.5,8.4,90,0.5,,,,,,,,,,,
8148,07-SCRB-0.8_20160712,,,,,,,,,,,,,,,,TRUE,M,,,,,,FALSE,FALSE,0.4,,8,,75,,0,,40,0,FALSE,TRUE,0,81,40,,40,45,10,5,,,Residential,,22.3,116,8.6,7.61,100,,,,,,,,,,,,
8149,07-SEOS_T52-2.6_20160712,,,,,,,,,,,,,,,,FALSE,N,,,,,,FALSE,FALSE,,,,,,,0,,0,,FALSE,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8150,07-WFSHO_E-18.4_20160712,,,,,,,,,,,,,,,,TRUE,M,,,,,,FALSE,FALSE,0.3,,15,,70,,0,,90,1,FALSE,FALSE,0,0,25,,30,50,15,5,,,Forest,,20.3,72,9.3,8,107,0.04,,,,,,,,,,,
8151,07-WFSHO_E-25.1_20160712,,,,,,,,,,,,,,,,TRUE,M,,,,,,FALSE,FALSE,0.2,,20,,60,,0,,100,1,FALSE,FALSE,0,9,10,,40,50,8,2,,,Forest,,22.8,64,9.4,8.2,115,0.04,,,,,,,,,,,
8152,07-WFSHO_E-33.3_20160712,,,,,,,,,,,,,,,,TRUE,M,,,,,,FALSE,FALSE,0.15,,8,,80,,0,,100,2,FALSE,FALSE,0,45,20,,25,65,8,2,,,Forest,,19.5,63,8.9,7.63,103,0.04,,,,,,,,,,,
8153,07-BLDY-0.1_20160713,,,,,,,,,,,,,,,,TRUE,M,,,,,,FALSE,FALSE,0.35,,3.5,,5,,0,,100,3,TRUE,TRUE,30,0,10,,0,30,10,50,10,,Residential,,20.2,2592,7.1,7.9,79,1.3,,,,,,,,,,,
8154,07-BSWP-1.3_20160713,,,,,,,,,,,,,,,,TRUE,M,,,,,,FALSE,FALSE,0.1,,3,,40,,0,,100,3,FALSE,TRUE,0,26,40,,40,30,20,10,0,0,Agriculture,,20.23,255,8.26,8.07,91.5,0.12,,,,,,,,,,,
